名前,タグ,作成日時,更新されました
鉄板エントリーパターン,,2020年7月18日 16:40,2020年7月18日 17:35
チャネルラの中のチャネルラインのWがブレイクした後の鉄板パターン,,2020年8月2日 12:03,2020年8月2日 12:11
FR：23.6％を使った鉄板パターン,,2020年9月19日 16:29,2020年9月19日 17:27
