名前,タグ,Category,書類制作日付,URL,クライアント,テキスト,プロジェクト,備考,"日付 ",重要度,実施予定日
遠藤さん勉強会 2025/05/31,学び,work notes,2025年5月29日 22:34,,DAO (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/DAO%2017c5cc0e3e50802eb6c9d900959b48d8.md),,遠藤さん応援プロジェクト (%E9%81%A0%E8%97%A4%E3%81%95%E3%82%93%E5%BF%9C%E6%8F%B4%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%2017c5cc0e3e5080adb9a4cf65ae35ed76.md),,2025/05/31,,
星空勉強会メタバース デザイン　2025年01月25日,"アイデア, コンテンツネタ, 学び, 戦略",work notes,2025年1月31日 15:08,,DAO (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/DAO%2017c5cc0e3e50802eb6c9d900959b48d8.md),,遠藤さん応援プロジェクト (%E9%81%A0%E8%97%A4%E3%81%95%E3%82%93%E5%BF%9C%E6%8F%B4%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%2017c5cc0e3e5080adb9a4cf65ae35ed76.md),,2025/01/25,,
星空勉強会メタバース デザイン　2025年01月25日,"アイデア, コンテンツネタ, 学び, 戦略",work notes,2025年1月25日 10:42,,DAO (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/DAO%2017c5cc0e3e50802eb6c9d900959b48d8.md),,遠藤さん応援プロジェクト (%E9%81%A0%E8%97%A4%E3%81%95%E3%82%93%E5%BF%9C%E6%8F%B4%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%2017c5cc0e3e5080adb9a4cf65ae35ed76.md),,2025/01/25,,
星空勉強会メタバース デザイン　2025年01月15日,"アイデア, コンテンツネタ, 学び, 戦略",work notes,2025年1月16日 23:09,,DAO (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/DAO%2017c5cc0e3e50802eb6c9d900959b48d8.md),,遠藤さん応援プロジェクト (%E9%81%A0%E8%97%A4%E3%81%95%E3%82%93%E5%BF%9C%E6%8F%B4%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%2017c5cc0e3e5080adb9a4cf65ae35ed76.md),,2025/01/15,,
今、訓練すること　2025年01月15日,"アイデア, コンテンツネタ, 学び, 戦略",work notes,2025年1月15日 11:19,,DAO (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/DAO%2017c5cc0e3e50802eb6c9d900959b48d8.md),,遠藤さん応援プロジェクト (%E9%81%A0%E8%97%A4%E3%81%95%E3%82%93%E5%BF%9C%E6%8F%B4%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%2017c5cc0e3e5080adb9a4cf65ae35ed76.md),,2025/01/15,,
