Name,SASS変数,Hex,RGB
雪,$color-snow,#F4F4F4,"rgb(244, 244, 244)"
月,$color-moon,#999999,"rgb(153, 153, 153)"
シルバー,$color-silver,#CCCCCC,"rgb(204, 204, 204)"
石炭,$color-coal,#333333,"rgb(51, 51, 51)"
ニッケル,$color-nickel,#666666,"rgb(102, 102, 102)"
黒,$color-black,#000000,"rgb(0,0,0)"
