オフセット印刷／カード印刷／名刺,プロパティ,ファイル
サイズ：55mm×91mm用　紙 ：コート180kg納　期：4日納期カラー：両面フルカラー数　量：100枚,,
浮出し5cm2,,
小　計,"11,320円",
追加料金,"8,500 円",
印刷料金,"2,820 円",
追加納期,2 日,
× 件,,%E5%8F%A4%E8%B3%80%E3%81%95%E3%82%93%20%E5%90%8D%E5%88%BA/untitled
