名前,ステータス,実施予定日,URL
過去に見た動画で、ストキャスの手法で、80以下でデッドクロスの時にエントリーする手法を見つける,Not Started,,
カボチャFX専業トレーダーもBOX手法を完成させる,Not Started,,https://www.youtube.com/watch?v=K_0oqtBWMBU
GMMA研究所の動画を見る,Not Started,,https://www.youtube.com/watch?v=vCbKKII-eTM&list=PL9MrgIgFu25xQZlAhkkBC02k-Lguf3G8k
誰でも勝てる手法を作る,Not Started,,
グランビルの法則を学ぶ,Not Started,,https://www.youtube.com/watch?v=W9WjK98OLns
誰でも勝てる1５分足 スキャルピング手法,Not Started,2023年12月20日,https://www.youtube.com/watch?v=5yjtVnTy_54
5分足スキャルピングにASCTrend動画を見てみる,Not Started,,https://www.youtube.com/watch?v=QGiRKHLGAaE
FX トレード手法動画見る,Not Started,2023年10月23日,https://www.youtube.com/watch?v=prqxM3pRbfE
