名前,テキスト,タグ
動画のネタ｜地球意識プロジェクト、天皇の祈り,,"work notes, アイデア, コンテンツネタ"
コンセプト動画　アイデア,,"work notes, アイデア"
サイト名,,"HP, work notes, アイデア"
台本、レジュメ生成プロンプト_ver02,,プロンプト
台本、レジュメ生成プロンプト_01,,プロンプト
