名前,実施予定日,マルチセレクト
スマホ下部 電話ボタン設置,2023年5月19日,
Yoast Duplicate Postを入れる,2023年5月19日,
WP Delete Post Copiesどうするか決める,2023年5月20日,
固定ページ、投稿ページの指定ページの移動 マニュアルの作成,,
固定ページ、投稿ページのコピーの仕方 マニュアル制作,,
説明書の制作,,
情報ページ設置,2023年5月19日,
問い合わせフォーム　メルアド2重チェックなくす,2023年5月19日,
