名前,実施予定日,タスク種別
アンバサダータスクG,,💫 いつかやる・たぶんやる
タスクB,,💫 いつかやる・たぶんやる
　WPのプラグイン名一覧をDB作る,,💫 いつかやる・たぶんやる
DAOの説明資料を作る,,💫 いつかやる・たぶんやる
Todoリスト管理を理解,,💫 いつかやる・たぶんやる
EA YouTuber アサヒさにLINEで相談,,💫 いつかやる・たぶんやる
二重チェックの作業内容をWP作業memoに入れる,,💫 いつかやる・たぶんやる
HP、WP構築後の設定、プラグインリスト、工程をmemo,,💫 いつかやる・たぶんやる
プロンプトの情報をまとめる,,💫 いつかやる・たぶんやる
WP制作で毎回入れるプラグインをまとめる,,💫 いつかやる・たぶんやる
