名前,タグ,Category
洗脳から抜け出す動画　【プロンプト】,プロンプト,work notes
健康サイトスケジュール,,work notes
アンケート動画で、AIが考えた台本,work notes,work notes
アンケート動画のプロンプト,"work notes, アイデア",work notes
アンケート動画のアンケート内容を考える,"work notes, アイデア",work notes
アンケート動画の内容の項目を考える,"work notes, アイデア",work notes
コズ健康情報 - スケジュール,work notes,work notes
こずにもらう動画アンケートとは？,work notes,work notes
健康動画 / 考え方、コンセプト,"work notes, アイデア",work notes
コズ健康情報 - スケジュール - 決める,work notes,work notes
健康動画 / カテゴリー,"work notes, アイデア",work notes
