名前,実施予定日
SEO設定を群馬にする（H1や、タイトル。ページ説明　など）,2024年6月30日
代替プラグインを予めインストールし設定,2024年6月29日
メニュー修正,2024年6月30日
クライアントの所在変更,2024年6月30日
採用プラグインをダウンロード,2024年6月29日
プラグインの代替えを決める,2024年6月29日
"プラグイン精査 ",2024年6月29日
各設定をダウンロード,2024年6月29日
画像のデータ軽量でデザイン崩れないかチェックしOKなら軽量化,2024年6月29日
不要そうな画像の削除,2024年6月27日
WP、DB、プラグイン、テーマなど　全てを一度入れ直す,2024年6月30日
そのうちやること,
やることを確認・提案 → ザキヤマ,
調査するプラグインを調査,2024年6月29日
