名前,タグ,Category,書類制作日付,URL,クライアント,テキスト,プロジェクト,備考,実施予定日,"日付 ",重要度
Evernote：ノートブック、ノート 全容,,,2024年8月22日 14:36,,SUNNYSH (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/SUNNYSH%2008d06c9684c3467ba3373ef7768d2323.md),,EvernoteをNotionに移行 (Evernote%E3%82%92Notion%E3%81%AB%E7%A7%BB%E8%A1%8C%205e39e3d89fdd45738d37e27c8d652389.md),,,,
8月29日までに移行しないと消される,work notes,work notes,2024年8月22日 14:19,,SUNNYSH (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/SUNNYSH%2008d06c9684c3467ba3373ef7768d2323.md),,EvernoteをNotionに移行 (Evernote%E3%82%92Notion%E3%81%AB%E7%A7%BB%E8%A1%8C%205e39e3d89fdd45738d37e27c8d652389.md),,,,
