名前,タイトル,トレード日,参考度,取引量,損益,通貨ペア
2025/02/07 - EUR/USD,2025/02/07 - EUR/USD,2025年2月7日,★,0.03,-278,EUR/USD
2025/02/07 - AUD/USD,2025/02/07 - AUD/USD,2025年2月7日,★,0.02,264,AUD/USD
2025/02/07 - GBP/USD,2025/02/07 - GBP/USD,2025年2月7日,,0.02,-726,GBP/USD
2025/02/07 - EUR/JPY,2025/02/07 - EUR/JPY,2025年2月7日,★,0.02,-195,EUR/JPY
