名前,タグ,Category,書類制作日付,URL,クライアント,テキスト,プロジェクト,備考,実施予定日,"日付 ",重要度
2025/04/29 キャンプ計画,,,2025年4月28日 12:39,,SUNNYSH (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/SUNNYSH%2008d06c9684c3467ba3373ef7768d2323.md),,ばばぁ青春日記 チャンネル (%E3%81%B0%E3%81%B0%E3%81%81%E9%9D%92%E6%98%A5%E6%97%A5%E8%A8%98%20%E3%83%81%E3%83%A3%E3%83%B3%E3%83%8D%E3%83%AB%201e05cc0e3e5080db98b0ff9c72e127c2.md),,,2025/04/29,
動画の大まかな流れ案,,,2025年4月25日 18:34,,SUNNYSH (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/SUNNYSH%2008d06c9684c3467ba3373ef7768d2323.md),,ばばぁ青春日記 チャンネル (%E3%81%B0%E3%81%B0%E3%81%81%E9%9D%92%E6%98%A5%E6%97%A5%E8%A8%98%20%E3%83%81%E3%83%A3%E3%83%B3%E3%83%8D%E3%83%AB%201e05cc0e3e5080db98b0ff9c72e127c2.md),,,2025/04/25,
コンセプト,"YouTube, work notes, コンテンツネタ",work notes,2025年4月25日 18:31,,SUNNYSH (../DB_%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BB%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9/SUNNYSH%2008d06c9684c3467ba3373ef7768d2323.md),,ばばぁ青春日記 チャンネル (%E3%81%B0%E3%81%B0%E3%81%81%E9%9D%92%E6%98%A5%E6%97%A5%E8%A8%98%20%E3%83%81%E3%83%A3%E3%83%B3%E3%83%8D%E3%83%AB%201e05cc0e3e5080db98b0ff9c72e127c2.md),,,2025/04/25,
