Name,Date,自己評価,🏃‍♂️,📕
失敗は抽象化して転用する,2021年9月3日,☀️,Yes,Yes
タイトル,2021年9月5日,☁️,Yes,Yes
視野が広がってきた,2021年9月2日,🌤,Yes,No
休日の朝は早起き,2021年9月4日,,No,No
