名前,ステータス,担当者,日付
講座ランク,,,
SNS,,,2023年5月16日 → 2023年5月19日
コンセプト,,,2023年5月14日 → 2023年5月17日
誰に届けるか,,,2023年5月15日 → 2023年5月18日
講座の概要,,,2023年5月17日
