名前,タグ,書類制作日付
役割分担の詳細,,2024年7月23日 10:47
MGC説明資料-台本-原稿,"work notes, アイデア, コンテンツネタ",2024年7月16日 11:43
MGC説明資料-概要,"work notes, アイデア, コンテンツネタ",2024年7月15日 18:55
MGC説明資料-原稿生成 / プロンプト,"work notes, アイデア, コンテンツネタ",2024年7月14日 18:50
問題解決 or 条件追加,"work notes, アイデア",2023年11月24日 11:25
コンセプト・ルール アイデア メモ,"work notes, アイデア",2023年11月22日 13:22
MGCへのプレゼン資料,アイデア,2023年11月21日 12:03
自分がどうしたら最高に楽しいか？,"work notes, アイデア",2023年11月21日 11:54
