タイトル,プロパティ," 1",ファイル
,時刻,作業内容,
,11:00,,
,10:00,話す内容考える,
,5:30,トレーニング、歯磨き、鏡アファメーション,
,7:00,瞑想、アメプレス稼働、メモ,
,9:00,,
,12:00,準備開始,
,8:00,,
,13:1013:37,家を出る黒川駅,
,20:00,,
,16:00,イベント開始,
,19:00,,
,15:30,楽楽さんに移動,
,21:00,,
,17:00,,
,18:00,,
,14:30,石倉さん来る,
,24:00,成功映像などを見る,
,23:00,自我、エス、などを調べる,
,22:00,,
,1:00,,
